cycle_id,scenario_id,scenario_name,scenario_cycle,soil_moisture_pct,soil_state,energy_state,lora_success_ratio,lora_ack_condition,wifi_available,wifi_ack_condition,ble_available,ble_reliable_ack_condition,dtn_backlog_before,packet_size,event_type,priority,expected_policy,expected_interface_sequence,expected_selected_interface,expected_decision,expected_outcome,expected_dtn_action,expected_dtn_backlog_after,flush_trigger,flush_interface,maintenance_due,wifi_maintenance_flag,expected_radio_attempts,static_lora_attempts,expected_energy_proxy,functionality_oracle_key,notes
1,S5,"Extreme wet, OK energy, deterministic cascade",3,94,Extreme_Wet,OK,0.33999999999999997,Yes,No,NA,No,NA,14,128,EXTREME_WET,CRITICAL,critical_environmental_full_cascade,LORA,LORA,Send,Delivered,None,14,No,None,No,No,1,1,3.7,EXTREME_WET|CRITICAL|critical_environmental_full_cascade|LORA|LORA|Send|Delivered|None|No|None|No,OK-energy extreme wet event uses deterministic cascade; DTN protects the packet if all ACK-confirmed paths fail.
2,S5,"Extreme wet, OK energy, deterministic cascade",2,93,Extreme_Wet,OK,0.345,No,No,NA,Yes,Yes,13,128,EXTREME_WET,CRITICAL,critical_environmental_full_cascade,LORA-WIFI-BLE_RELIABLE,BLE_RELIABLE,Send,Delivered,None,13,No,None,No,No,3,1,9.1,EXTREME_WET|CRITICAL|critical_environmental_full_cascade|LORA-WIFI-BLE_RELIABLE|BLE_RELIABLE|Send|Delivered|None|No|None|No,OK-energy extreme wet event uses deterministic cascade; DTN protects the packet if all ACK-confirmed paths fail.
3,S10,Scheduled WiFi maintenance gating,2,38,Normal,OK,0.895,Yes,Yes,Yes,No,NA,9,64,REGULAR,NORMAL,normal_lora_with_wifi_maintenance,LORA;WIFI_MAINTENANCE,LORA,Send,Delivered,None,9,No,None,Yes,Yes,2,1,6.7,REGULAR|NORMAL|normal_lora_with_wifi_maintenance|LORA;WIFI_MAINTENANCE|LORA|Send|Delivered|None|No|None|Yes,Scheduled WiFi maintenance is due; it runs only when energy is OK and WiFi is available.
4,S1,"Normal soil, OK energy, reliable LoRa",10,35,Normal,OK,0.95,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,fuzzy_lora_tx,LORA,LORA,Send,Delivered,None,0,No,None,No,No,1,1,3.7,REGULAR|NORMAL|fuzzy_lora_tx|LORA|LORA|Send|Delivered|None|No|None|No,Normal fuzzy path selects LoRa because soil and recent LoRa reliability are favourable.
5,S7,"LOW battery, noncritical soil, warning-store policy",6,39,Normal,LOW,0.75,NA,No,NA,No,NA,20,64,LOW_BATTERY,WARNING,warning_store_policy,NONE,DTN,Store,Stored,Enqueue,21,No,None,No,No,0,1,1.5,LOW_BATTERY|WARNING|warning_store_policy|NONE|DTN|Store|Stored|Enqueue|No|None|No,LOW battery bypasses fuzzy path; current packet is stored and high-cost interfaces are avoided.
6,S6,"Extreme soil event, LOW energy, LoRa-only emergency",1,94,Extreme_Wet,LOW,0.45,Yes,Yes,NA,Yes,NA,18,96,EXTREME_WET,CRITICAL,low_energy_critical_lora_only,LORA,LORA,Send,Delivered,None,18,No,None,No,No,1,1,3.7,EXTREME_WET|CRITICAL|low_energy_critical_lora_only|LORA|LORA|Send|Delivered|None|No|None|No,LOW energy critical event allows only a minimal LoRa attempt; WiFi/BLE escalation is intentionally blocked.
7,S1,"Normal soil, OK energy, reliable LoRa",2,36,Normal,OK,0.94,Yes,No,NA,No,NA,0,64,REGULAR,NORMAL,fuzzy_lora_tx,LORA,LORA,Send,Delivered,None,0,No,None,No,No,1,1,3.7,REGULAR|NORMAL|fuzzy_lora_tx|LORA|LORA|Send|Delivered|None|No|None|No,Normal fuzzy path selects LoRa because soil and recent LoRa reliability are favourable.
8,S8,"CRITICAL battery, store-only protection",1,38,Normal,CRITICAL,0.9,NA,No,NA,No,NA,20,64,BATTERY_CRITICAL,CRITICAL,battery_critical_store_only,NONE,DTN,Store,Stored,Enqueue,21,No,None,No,No,0,1,1.5,BATTERY_CRITICAL|CRITICAL|battery_critical_store_only|NONE|DTN|Store|Stored|Enqueue|No|None|No,CRITICAL battery disables normal radio transmission; zero TX attempts expected.
9,S2,"Normal soil, OK energy, poor LoRa history",6,40,Normal,OK,0.29,No,No,NA,No,NA,5,64,REGULAR,NORMAL,fuzzy_store_poor_lora,NONE,DTN,Store,Stored,Enqueue,6,No,None,No,No,0,1,1.5,REGULAR|NORMAL|fuzzy_store_poor_lora|NONE|DTN|Store|Stored|Enqueue|No|None|No,Fuzzy path uses soil moisture and LoRa success ratio only; poor LoRa history causes direct DTN store.
10,S8,"CRITICAL battery, store-only protection",9,38,Normal,CRITICAL,0.8200000000000001,NA,No,NA,No,NA,28,64,BATTERY_CRITICAL,CRITICAL,battery_critical_store_only,NONE,DTN,Store,Stored,Enqueue,29,No,None,No,No,0,1,1.5,BATTERY_CRITICAL|CRITICAL|battery_critical_store_only|NONE|DTN|Store|Stored|Enqueue|No|None|No,CRITICAL battery disables normal radio transmission; zero TX attempts expected.
